ACSSF,2014e5,wa,000,0004,0000001,6899123,5392302,250484,95117,518072,42608,261577,338963,33540,305423,95117,75945,528,1722,3883,574,396,2941,1345,7297,107,134,528,167,147,19,595,68,117,61,1311,155,36,199,126,344,309,12319,56,37,2569,24,100,7663,168,19,29881,1854,5696,652,1180,1120,2385,359,619,11003,518072,72321,332,20733,101119,91250,1752,3297,36975,63219,10751,355,3726,614,5546,6329,72209,22753,4791,42608,23016,6267,13722,1519,1508,15755,10250,5505,2106,2088,18,359,1284,88,5690993,348690,204599,653753,77396,299862,6899123,6560160,5392302,250484,95117,518072,42608,261577,338963,33540,305423,304646,60926,77845,92711,7286,65878,31664,2653
ACSSF,2014e5,wa,000,0004,0000002,5816468,4432308,243033,62146,505601,41124,227991,304265,29878,274387,62146,46864,386,1500,2918,439,346,2091,1020,2910,85,98,426,135,127,19,492,60,105,53,1103,155,36,199,113,220,271,7894,34,32,1969,24,100,3186,104,12,18202,1377,4615,540,875,967,1949,284,537,8753,505601,71745,332,20407,99213,88539,1563,3249,34882,61310,10365,355,3722,586,5451,6118,70934,22219,4611,41124,22333,5733,13597,1514,1489,15103,9821,5282,2000,1982,18,342,1258,88,4698850,335242,153071,632200,73136,262286,5816468,5512203,4432308,243033,62146,505601,41124,227991,304265,29878,274387,272768,56841,62285,86624,6923,60095,29120,2377
ACSSF,2014e5,wa,000,0004,0000003,1082655,959994,7451,32971,12471,1484,33586,34698,3662,31036,32971,29081,142,222,965,135,50,850,325,4387,22,36,102,32,20,0,103,8,12,8,208,0,0,0,13,124,38,4425,22,5,600,0,0,4477,64,7,11679,477,1081,112,305,153,436,75,82,2250,12471,576,0,326,1906,2711,189,48,2093,1909,386,0,4,28,95,211,1275,534,180,1484,683,534,125,5,19,652,429,223,106,106,0,17,26,0,992143,13448,51528,21553,4260,37576,1082655,1047957,959994,7451,32971,12471,1484,33586,34698,3662,31036,31878,4085,15560,6087,363,5783,2544,276
ACSSF,2014e5,wa,000,0004,0000004,6746402,5261123,249626,87721,516382,42342,256084,333124,32982,300142,87721,69390,503,1705,3770,523,392,2829,1293,3311,104,134,505,164,147,19,553,68,117,61,1270,155,36,199,126,344,305,12252,56,37,2441,24,100,7383,168,19,28277,1751,5554,612,1160,1110,2330,342,608,10418,516382,72283,332,20684,100953,90851,1752,3287,36668,62984,10508,355,3726,614,5519,6277,72133,22700,4756,42342,22879,6225,13627,1519,1508,15672,10204,5468,2075,2057,18,359,1269,88,5554402,347083,193582,650701,76472,293759,6746402,6413278,5261123,249626,87721,516382,42342,256084,333124,32982,300142,299492,60423,74827,91979,7270,64993,31021,2611
ACSSF,2014e5,wa,000,0004,0000005,6189466,4794763,242339,75959,503441,41187,220757,311020,30046,280974,75959,59725,389,1643,3306,475,374,2468,1245,2807,53,119,482,164,147,19,530,68,96,40,1095,155,27,199,126,289,305,10902,40,19,2242,24,100,7278,168,19,22312,1580,4864,553,1058,954,1991,308,585,9205,503441,71397,332,20369,97928,87360,1707,3137,35323,61381,10474,292,3694,604,5445,5926,71494,22010,4568,41187,22299,5846,13448,1519,1486,15195,9902,5293,2049,2031,18,343,1213,88,5067611,335935,171374,631901,73344,254812,6189466,5878446,4794763,242339,75959,503441,41187,220757,311020,30046,280974,279215,57461,66292,87851,7137,60474,29318,2487
ACSSF,2014e5,wa,000,0004,0000006,2526649,1842838,131376,27269,265101,19053,100494,140518,14089,126429,27269,20121,151,821,1366,228,78,859,600,1279,21,72,195,52,94,19,218,0,46,32,522,48,0,108,113,124,83,2939,25,0,766,0,73,886,10,9,8284,645,2055,230,288,564,844,129,224,4224,265101,39631,221,9272,59200,43597,612,1586,18379,24552,5559,180,1915,246,3762,2828,39738,11532,2291,19053,10404,2467,6308,1011,618,6593,3362,3231,1272,1272,0,212,484,88,1964793,177904,68010,322387,33111,116791,2526649,2386131,1842838,131376,27269,265101,19053,100494,140518,14089,126429,125974,28571,26567,39054,3755,28027,13307,1237
ACSSF,2014e5,wa,000,0004,0000007,3662817,2951925,110963,48690,238340,22134,120263,170502,15957,154545,48690,39604,238,822,1940,247,296,1609,645,1528,32,47,287,112,53,0,312,68,50,8,573,107,27,91,13,165,222,7963,15,19,1476,24,27,6392,158,10,14028,935,2809,323,770,390,1147,179,361,4981,238340,31766,111,11097,38728,43763,1095,1551,16944,36829,4915,112,1779,358,1683,3098,31756,10478,2277,22134,11895,3379,7140,508,868,8602,6540,2062,777,759,18,131,729,0,3102818,158031,103364,309514,40233,138021,3662817,3492315,2951925,110963,48690,238340,22134,120263,170502,15957,154545,153241,28890,39725,48797,3382,32447,16011,1250
ACSSF,2014e5,wa,000,0004,0000008,556936,466360,7287,11762,12941,1155,35327,22104,2936,19168,11762,9665,114,62,464,48,18,361,48,504,51,15,23,0,0,0,23,0,21,21,175,0,9,0,0,55,0,1350,16,18,199,0,0,105,0,0,5965,171,690,59,102,156,339,34,23,1213,12941,886,0,315,3025,3491,45,150,1345,1603,34,63,32,10,74,351,639,690,188,1155,580,379,179,0,22,477,302,175,26,26,0,16,56,0,486791,11148,22208,18800,3128,38947,556936,534832,466360,7287,11762,12941,1155,35327,22104,2936,19168,20277,2962,8535,4128,133,4519,1703,124
ACSSF,2014e5,wa,000,0004,0000009,162322,129977,3409,2206,7932,596,9692,8510,1275,7235,2206,1763,54,48,142,40,0,75,2,81,51,5,6,0,0,0,0,0,2,21,27,0,9,0,0,0,0,210,0,0,43,0,0,21,0,0,926,29,118,40,37,21,16,4,0,296,7932,784,0,112,2128,2195,43,138,651,749,28,63,32,10,30,268,282,359,60,596,199,101,76,0,22,308,193,115,26,26,0,16,47,0,137934,5189,5070,10858,1394,11552,162322,153812,129977,3409,2206,7932,596,9692,8510,1275,7235,7390,1469,1870,2146,38,1867,1075,45
ACSSF,2014e5,wa,000,0004,0000010,394614,336383,3878,9556,5009,559,25635,13594,1661,11933,9556,7902,60,14,322,8,18,286,46,423,0,10,17,0,0,0,23,0,19,0,148,0,0,0,0,55,0,1140,16,18,156,0,0,84,0,0,5039,142,572,19,65,135,323,30,23,917,5009,102,0,203,897,1296,2,12,694,854,6,0,0,0,44,83,357,331,128,559,381,278,103,0,0,169,109,60,0,0,0,0,9,0,348857,5959,17138,7942,1734,27395,394614,381020,336383,3878,9556,5009,559,25635,13594,1661,11933,12887,1493,6665,1982,95,2652,628,79
ACSSF,2014e5,wa,000,0004,0000011,152721,131179,858,7396,1690,266,5493,5839,558,5281,7396,6555,25,17,113,51,4,112,52,3986,3,0,23,3,0,0,42,0,0,0,41,0,0,0,0,0,4,67,0,0,128,0,0,280,0,0,1604,103,142,40,20,10,55,17,11,585,1690,38,0,49,166,399,0,10,307,235,243,0,0,0,27,52,76,53,35,266,137,42,95,0,0,83,46,37,31,31,0,0,15,0,136591,1607,11017,3052,924,6103,152721,146882,131179,858,7396,1690,266,5493,5839,558,5281,5154,503,3018,732,16,885,643,42
ACSSF,2014e5,wa,000,0004,0000012,709657,597539,8145,19158,14631,1421,40820,27943,3494,24449,19158,16220,139,79,577,99,22,473,100,4490,54,15,46,3,0,0,65,0,21,21,216,0,9,0,0,55,4,1417,16,18,327,0,0,385,0,0,7569,274,832,99,122,166,394,51,34,1798,14631,924,0,364,3191,3890,45,160,1652,1838,277,63,32,10,101,403,715,743,223,1421,717,421,274,0,22,560,348,212,57,57,0,16,71,0,623382,12755,33225,21852,4052,45050,709657,681714,597539,8145,19158,14631,1421,40820,27943,3494,24449,25431,3465,11553,4860,149,5404,2346,166
