ACSSF,2014m5,wa,000,0004,0000011,0,698,190,372,139,105,709,536,291,484,372,393,33,13,54,60,8,80,45,392,6,28,22,5,28,28,63,28,28,28,27,28,28,28,28,28,5,43,28,28,73,28,28,136,28,28,317,58,70,41,19,12,43,24,17,159,139,29,28,47,57,126,28,11,115,163,100,28,28,28,35,51,58,42,52,105,72,30,59,28,28,50,38,29,33,33,28,28,26,28,742,189,303,269,308,728,0,536,698,190,372,139,105,709,536,291,484,480,148,333,166,22,290,233,36
ACSSF,2014m5,wa,000,0004,0000012,0,1953,541,719,511,183,2115,1385,691,1334,719,675,67,53,189,71,24,193,57,453,53,16,32,5,28,28,68,28,21,30,110,28,14,28,28,45,5,242,25,24,121,28,28,142,28,28,560,93,210,69,63,91,144,39,39,300,511,312,28,200,426,585,50,110,262,353,107,50,30,17,77,185,201,251,167,183,148,127,113,28,34,189,144,109,55,55,28,31,58,28,2201,592,735,504,485,2135,0,1385,1953,541,719,511,183,2115,1385,691,1334,1254,444,737,562,82,796,487,96
ACSSF,2014m5,wa,000,0004,0000013,0,707,25,94,55,26,726,173,133,115,94,94,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,4,19,19,19,19,19,19,19,19,94,19,8,6,19,19,5,19,19,19,55,16,19,19,61,52,19,19,36,5,4,19,19,19,19,19,51,19,7,26,10,8,5,19,19,31,31,19,19,19,19,19,19,19,722,98,131,101,35,713,0,173,707,25,94,55,26,726,173,133,115,174,39,89,77,12,143,27,19
ACSSF,2014m5,wa,000,0004,0000014,0,132,50,111,44,91,85,136,61,123,111,85,22,22,31,22,22,56,22,4,22,10,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,17,22,22,22,22,22,76,22,22,22,22,22,22,22,22,98,44,71,22,22,10,15,22,6,28,20,22,22,22,22,22,22,6,35,22,91,91,91,22,22,22,22,22,22,22,22,22,22,22,22,155,16,107,10,98,121,0,136,132,50,111,44,91,85,136,61,123,136,49,113,44,22,66,9,22
ACSSF,2014m5,wa,000,0004,0000015,0,1221,243,274,344,74,1376,717,531,559,274,222,28,50,111,27,33,24,75,56,28,28,18,28,28,28,158,28,28,28,38,28,28,27,28,13,28,31,28,28,60,28,28,44,28,28,95,139,45,28,28,22,37,28,28,172,344,356,51,28,404,286,28,28,141,210,74,28,65,28,29,176,278,164,43,74,74,58,49,35,7,28,28,28,28,28,28,28,28,28,1408,218,318,206,156,1259,0,717,1221,243,274,344,74,1376,717,531,559,703,274,344,270,28,546,166,28
ACSSF,2014m5,wa,000,0004,0000016,0,1051,73,233,124,47,1092,338,184,291,233,224,28,30,31,28,27,33,28,51,28,28,28,28,28,28,28,28,28,28,36,28,28,28,28,26,28,52,28,28,28,28,28,12,28,28,219,40,184,22,62,200,10,8,28,40,124,28,28,47,141,49,28,2,56,129,28,28,28,28,41,28,51,25,28,47,45,45,28,28,28,15,15,28,28,28,28,28,8,28,1061,179,192,189,149,1067,0,338,1051,73,233,124,47,1092,338,184,291,303,108,124,146,80,185,140,109
ACSSF,2014m5,wa,000,0004,0000017,0,307,114,238,163,44,304,371,55,365,238,251,36,28,31,28,23,57,12,3,28,11,7,28,28,28,25,28,28,28,30,28,28,28,28,28,28,43,28,28,4,28,28,7,28,28,276,56,82,28,15,17,79,11,34,69,163,51,28,15,87,72,28,21,62,78,28,28,28,28,26,57,70,76,28,44,41,41,7,28,28,11,28,11,28,28,28,28,28,28,405,72,141,173,69,313,0,371,307,114,238,163,44,304,371,55,365,369,90,263,167,5,91,69,19
ACSSF,2014m5,wa,000,0004,0000018,0,1359,505,383,718,288,1430,1142,466,1077,383,354,53,137,65,108,16,73,63,62,20,28,28,26,28,28,14,6,28,28,64,28,11,39,27,25,14,88,10,28,113,28,28,21,28,28,321,114,106,80,13,40,65,39,18,179,718,463,12,270,537,432,61,40,366,472,336,28,57,84,146,168,843,354,84,288,417,255,312,127,48,404,269,338,51,51,28,30,145,58,1642,467,521,187,569,1531,0,1142,1359,505,383,718,288,1430,1142,466,1077,1073,497,389,523,171,719,383,75
ACSSF,2014m5,wa,000,0004,0000019,0,66,4,28,10,12,68,30,12,27,28,27,12,12,12,12,12,12,12,29,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,11,12,12,12,12,12,12,12,12,6,10,12,12,12,6,9,12,12,4,6,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,73,19,17,12,12,67,0,30,66,4,28,10,12,68,30,12,27,27,15,27,13,12,12,16,12
ACSSF,2014m5,wa,000,0004,0000020,0,512,120,320,156,126,421,365,180,343,320,288,28,20,65,28,28,62,12,28,28,28,10,49,28,28,28,28,62,17,25,28,28,29,28,28,28,65,28,6,181,28,28,28,28,28,143,15,8,28,28,28,8,28,38,175,156,21,28,230,138,120,28,28,68,82,28,28,14,28,28,42,127,73,28,126,86,40,64,28,53,93,28,93,28,28,28,28,28,28,611,177,237,125,80,499,0,365,512,120,320,156,126,421,365,180,343,404,126,266,150,27,246,170,38
